AÑO;NUMERO;MES;APELLIDO;NOMBRE;CARGO;TOTAL_DE_ASIGNACIONES;SALARIO_FAMILIAR;TOTAL_DE_DESCUENTOS;LIQUIDO
2016;1;ENERO;;;SECRETARIO;87.782,20;0;0;0
2016;1;ENERO;;;SUBSECRETARIO;73.921,90;0;0;0
2016;1;ENERO;;;DIRECTOR GENERAL;64.681,60;0;0;0
2016;1;ENERO;;;DIRECTOR GENERAL ADJUNTO;64.681,60;0;0;0
2016;2;FEBRERO;;;SECRETARIO;87.782,20;0;0;0
2016;2;FEBRERO;;;SUBSECRETARIO;73.921,90;0;0;0
2016;2;FEBRERO;;;DIRECTOR GENERAL;64.681,60;0;0;0
2016;2;FEBRERO;;;DIRECTOR GENERAL ADJUNTO;64.681,60;0;0;0
2016;3;MARZO;;;SECRETARIO;87.782,20;0;0;0
2016;3;MARZO;;;SUBSECRETARIO;73.921,90;0;0;0
2016;3;MARZO;;;DIRECTOR GENERAL;64.681,60;0;0;0
2016;3;MARZO;;;DIRECTOR GENERAL ADJUNTO;64.681,60;0;0;0
2016;4;ABRIL;;;SECRETARIO;87.782,20;0;0;0
2016;4;ABRIL;;;SUBSECRETARIO;73.921,90;0;0;0
2016;4;ABRIL;;;DIRECTOR GENERAL;64.681,60;0;0;0
2016;4;ABRIL;;;DIRECTOR GENERAL ADJUNTO;64.681,60;0;0;0
2016;5;MAYO;;;SECRETARIO;100.072,10;0;0;0
2016;5;MAYO;;;SUBSECRETARIO;84.271,20;0;0;0
2016;5;MAYO;;;DIRECTOR GENERAL;73.737,30;0;0;0
2016;5;MAYO;;;DIRECTOR GENERAL ADJUNTO;73.737,30;0;0;0
2016;6;JUNIO;;;SECRETARIO;100.072,10;0;0;0
2016;6;JUNIO;;;SUBSECRETARIO;84.271,20;0;0;0
2016;6;JUNIO;;;DIRECTOR GENERAL;73.737,30;0;0;0
2016;6;JUNIO;;;DIRECTOR GENERAL ADJUNTO;73.737,30;0;0;0
2016;7;JULIO;;;SECRETARIO;100.072,10;0;0;0
2016;7;JULIO;;;SUBSECRETARIO;84.271,20;0;0;0
